id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,fe80::6dd3:1409:3456:8562,08:00:27:5b:df:e1,08:00:27,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,6475,6970,495,2,180,6475,6970,495,2,180,0,0,0,0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,495,495.0,0.0,495,495,495.0,0.0,495,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
1,0,fe80::6dd3:1409:3456:8562,08:00:27:5b:df:e1,08:00:27,50791,ff02::1:3,33:33:00:01:00:03,33:33:00,5355,17,6,0,0,7720,7811,91,2,168,7720,7811,91,2,168,0,0,0,0,0,84,84.0,0.0,84,84,84.0,0.0,84,0,0.0,0.0,0,91,91.0,0.0,91,91,91.0,0.0,91,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,wpad,,,,
2,0,10.0.2.16,08:00:27:5b:df:e1,08:00:27,54326,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,5355,17,4,0,0,7721,7811,90,2,128,7721,7811,90,2,128,0,0,0,0,0,64,64.0,0.0,64,64,64.0,0.0,64,0,0.0,0.0,0,90,90.0,0.0,90,90,90.0,0.0,90,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,wpad,,,,
3,0,::,08:00:27:5b:df:e1,08:00:27,0,ff02::1:ff56:8562,33:33:ff:56:85:62,33:33:ff,0,58,6,0,0,6470,6470,0,1,78,6470,6470,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
4,0,10.0.2.16,08:00:27:5b:df:e1,08:00:27,50005,8.8.8.8,52:54:00:12:35:02,52:54:00,53,17,4,0,0,8024,8099,75,2,257,8024,8024,0,1,76,8099,8099,0,1,181,76,128.5,74.24621202458749,181,76,76.0,0.0,76,181,181.0,0.0,181,75,75.0,0.0,75,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
5,0,fe80::6dd3:1409:3456:8562,08:00:27:5b:df:e1,08:00:27,0,ff02::2,33:33:00:00:00:02,33:33:00,0,58,6,0,0,6475,14471,7996,3,210,6475,14471,7996,3,210,0,0,0,0,0,70,70.0,0.0,70,70,70.0,0.0,70,0,0.0,0.0,0,3990,3998.0,11.31370849898476,4006,3990,3998.0,11.31370849898476,4006,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
6,0,10.0.2.16,08:00:27:5b:df:e1,08:00:27,49161,193.45.10.144,52:54:00:12:35:02,52:54:00,80,6,4,0,0,8176,8456,280,10,832,8176,8456,280,5,379,8272,8456,184,5,453,54,83.2,60.62965904205264,233,54,75.8,42.35799806412008,151,54,90.6,79.62286103877453,233,0,31.11111111111111,46.49044107245178,96,1,70.0,46.19523784980439,96,0,46.0,52.66877632905477,96,2,0,0,0,9,2,0,3,1,0,0,0,4,1,0,1,1,0,0,0,5,1,0,2,HTTP.Microsoft,ConnCheck,0,6,www.msftncsi.com,,,Microsoft NCSI,text/plain
7,0,fe80::6dd3:1409:3456:8562,08:00:27:5b:df:e1,08:00:27,546,ff02::1:2,33:33:00:01:00:02,33:33:00,547,17,6,0,0,6519,69540,63021,7,1022,6519,69540,63021,7,1022,0,0,0,0,0,146,146.0,0.0,146,146,146.0,0.0,146,0,0.0,0.0,0,1002,10503.5,11862.773819811284,32006,1002,10503.5,11862.773819811284,32006,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
8,0,10.0.2.2,52:54:00:12:35:02,52:54:00,0,10.0.2.16,08:00:27:5b:df:e1,08:00:27,0,1,4,0,0,7811,7811,0,1,92,7811,7811,0,1,92,0,0,0,0,0,92,92.0,0.0,92,92,92.0,0.0,92,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMP,Network,0,6,,,,,
9,0,10.0.2.16,08:00:27:5b:df:e1,08:00:27,51357,8.8.8.8,52:54:00:12:35:02,52:54:00,53,17,4,0,0,8101,8175,74,2,257,8101,8101,0,1,76,8175,8175,0,1,181,76,128.5,74.24621202458749,181,76,76.0,0.0,76,181,181.0,0.0,181,74,74.0,0.0,74,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
